Metric,Type,Mean,StdDev
rouge1,precision,0.2659518170217687,0.11824426217869947
rouge1,recall,0.3372090696670768,0.16030237450778773
rouge1,fmeasure,0.2889083373310017,0.12359901807264481
rouge2,precision,0.09061609468753651,0.09404416351785494
rouge2,recall,0.12172200066865466,0.13817986436778332
rouge2,fmeasure,0.1003756388720454,0.10416603751310029
rougeL,precision,0.18490166033845368,0.09912902965118185
rougeL,recall,0.2375618156746447,0.14138525712370906
rougeL,fmeasure,0.20158810137786126,0.10603219972052907
rougeLsum,precision,0.22385536977225554,0.10884894186975048
rougeLsum,recall,0.28618626381131185,0.153100041239931
rougeLsum,fmeasure,0.24380029371833808,0.11593141830546562
