Metric,Type,Mean,StdDev
rouge1,precision,0.2204803692334487,0.12138785533981848
rouge1,recall,0.1810881916091343,0.10218022210645689
rouge1,fmeasure,0.1919412994428366,0.10024989200301003
rouge2,precision,0.05380271582413173,0.06435875093156201
rouge2,recall,0.04304900461729776,0.0496973030834593
rouge2,fmeasure,0.04618474742298667,0.05274725305516864
rougeL,precision,0.16571196217194392,0.09939266552048515
rougeL,recall,0.13589375531970324,0.08359405835398255
rougeL,fmeasure,0.14411600580289205,0.0824813433774825
rougeLsum,precision,0.18498063064780798,0.10984426912886537
rougeLsum,recall,0.15212303042597494,0.09230181281436034
rougeLsum,fmeasure,0.16116471666873464,0.09136013581572364
