Metric,Type,Mean,StdDev
rouge1,precision,0.17106275933046508,0.12559772533403077
rouge1,recall,0.2542263164740269,0.16489322555665448
rouge1,fmeasure,0.18755772108517813,0.11756378243437018
rouge2,precision,0.04081507550014206,0.07902136855281851
rouge2,recall,0.05861789389949058,0.11848552557565162
rouge2,fmeasure,0.04352521106910031,0.0801528234408931
rougeL,precision,0.12208619631516192,0.09437923960738867
rougeL,recall,0.18703040631144016,0.13794416776292664
rougeL,fmeasure,0.13475353835840143,0.09034482357214713
rougeLsum,precision,0.14059430702562803,0.10790399324678232
rougeLsum,recall,0.21325883838669185,0.1512549472910873
rougeLsum,fmeasure,0.15499895161712132,0.10283631872640384
